Time,Fab,Station,EQID,FileName,Result,Score,inference time,Read Image time
2019-12-27 10:22:50.620153,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19917, LGP-PrintFV-HB-P#6^19_20191227-102250_620153_AIresult.jpg, LLPM,[[1. 0. 0. 0.]],1.97,0.06
2019-12-27 10:30:39.088487,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19917,,NG:NoImage,0,0,0.02
2019-12-27 10:30:56.399805,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19917,,NG:NoImage,0,0,0.0
2019-12-27 10:57:10.011990,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19453, LGP-PrintFV-HB-P#6^19_20191227-105710_043271_AIresult.jpg, LLPM,[[1. 0. 0. 0.]],2.06,0.42
2019-12-27 11:16:38.589130,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19455, LGP-PrintFV-HB-P#6^19_20191227-111638_620382_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-111639_011006_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-111639_089128_AIresult.jpg, OK  YSCQ OK ,"[[0.   1.   0.   0.  ]
 [0.   0.35 0.   0.65]
 [0.19 0.81 0.   0.  ]]",0.41,0.58
2019-12-27 11:19:32.796091,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19456, LGP-PrintFV-HB-P#6^19_20191227-111932_796091_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-111932_889860_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-111932_952356_AIresult.jpg, OK  LLPM OK ,"[[0. 1. 0. 0.]
 [1. 0. 0. 0.]
 [0. 1. 0. 0.]]",0.12,0.23
2019-12-27 11:19:54.122828,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19457, LGP-PrintFV-HB-P#6^19_20191227-111954_138395_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-111954_216515_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-111954_279037_AIresult.jpg, OK  LLPM LLPM,"[[0.   1.   0.   0.  ]
 [1.   0.   0.   0.  ]
 [0.99 0.01 0.   0.  ]]",0.12,0.22
2019-12-27 11:20:24.808229,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19458, LGP-PrintFV-HB-P#6^19_20191227-112024_839476_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-112025_198819_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-112025_261316_AIresult.jpg, OK  LLPM OK ,"[[0.   1.   0.   0.  ]
 [1.   0.   0.   0.  ]
 [0.14 0.86 0.   0.  ]]",0.12,0.52
2019-12-27 11:22:33.049564,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19459, LGP-PrintFV-HB-P#6^19_20191227-112233_080760_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-112233_455761_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-112233_518276_AIresult.jpg, OK  OK  OK ,"[[0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]]",0.12,0.55
2019-12-27 11:27:37.060216,LGP,LGP-PrintFV-HB-P#6^19,LGP-PrintFV-HB-P#6^19460, LGP-PrintFV-HB-P#6^19_20191227-112737_075805_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-112737_138330_AIresult.jpg LGP-PrintFV-HB-P#6^19_20191227-112737_200824_AIresult.jpg, OK  OK  OK ,"[[0. 1. 0. 0.]
 [0. 1. 0. 0.]
 [0. 1. 0. 0.]]",0.11,0.25
